s,lane_x,lane_y,veh_x,veh_y,deviation,lane_seg_idx,veh_seg_idx
23.0,214.6577378835428,547.504290602538,220.4203130454275,556.4114202120635,10.608686552879915,0,20
23.25,214.79407134314656,547.7138453395222,220.5575189196933,556.6204047762469,10.608681773317198,0,20
23.5,214.93040480275027,547.9234000765063,220.69472479395915,556.8293893404303,10.608677096140752,0,20
23.75,215.066738262354,548.1329548134904,220.83191293099094,557.0383855370228,10.608672647015164,0,21
24.0,215.2030717219577,548.3425095504745,220.96890917148946,557.2475075829416,10.608669636324151,0,21
24.25,215.33940518156146,548.5520642874586,221.10590541198798,557.4566296288604,10.60866668468767,0,21
24.5,215.47573864116518,548.7616190244427,221.24290165248652,557.6657516747792,10.6086637921061,0,21
24.75,215.6120721007689,548.9711737614268,221.37989789298504,557.874873720698,10.608660958579062,0,21
25.0,215.74840556037262,549.1807284984109,221.5168921154287,558.083997088626,10.608658196274128,0,22
25.25,215.88473901997637,549.390283235395,221.65388511806142,558.2931212556409,10.608655499910718,0,22
25.5,216.02107247958008,549.5998379723792,221.79087812069412,558.5022454226558,10.608652862026009,0,22
25.75,216.1574059391838,549.8093927093632,221.9278711233268,558.7113695896707,10.608650282620044,0,22
26.0,216.29373939878752,550.0189474463474,222.0648165104432,558.9205249026176,10.608647992965603,0,23
26.25,216.43007285839127,550.2285021833314,222.201526362988,559.1298342818083,10.6086468827601,0,23
26.5,216.566406317995,550.4380569203156,222.33823621553285,559.3391436609988,10.608645791583337,0,23
26.75,216.7027397775987,550.6476116572996,222.47494606807766,559.5484530401895,10.608644719435656,0,23
27.0,216.83907323720243,550.8571663942838,222.6116559206225,559.7577624193801,10.608643666316711,0,23
27.25,216.97540669680617,551.0667211312679,222.7481017997321,559.967243882316,10.608643362526157,0,24
27.5,217.1117401564099,551.276275868252,222.884444635393,560.1767925190665,10.608643346493311,0,24
27.75,217.2480736160136,551.4858306052361,223.0207874710539,560.3863411558168,10.608643330472244,0,24
28.0,217.38506399269195,551.6949559081972,223.1571303067148,560.5958897925672,10.608646169394186,1,24
28.25,217.5223149791866,551.903910847613,223.29324708888998,560.8055848877358,10.60865015595298,1,25
28.5,217.65956596568125,552.1128657870288,223.42877600160597,561.0156608592747,10.608654228365653,1,25
28.75,217.79681695217593,552.3218207264446,223.56430491432195,561.2257368308136,10.608658698777225,1,25
29.0,217.93406793867058,552.5307756658603,223.69983382703793,561.4358128023526,10.608663567187316,1,25
29.25,218.07131892516523,552.739730605276,223.83536273975392,561.6458887738916,10.608668833595267,1,25
29.5,218.2085699116599,552.9486855446918,223.970170818426,561.8564277134026,10.608671714831994,1,26
29.75,218.34582089815456,553.1576404841076,224.10484446717658,562.0670529928261,10.608674927579875,1,26
30.0,218.48307188464923,553.3665954235233,224.23951811592715,562.2776782722495,10.608679029476582,1,26
30.25,218.62032287114388,553.5755503629391,224.37419176467773,562.488303551673,10.608684020521208,1,26
30.5,218.75757385763853,553.7845053023549,224.50811674434135,562.6994030360665,10.608682533394312,1,27
30.75,218.8948248441332,553.9934602417705,224.64098597567346,562.9111712285913,10.608672725373717,1,27
31.0,219.03207583062786,554.2024151811863,224.77385520700557,563.1229394211161,10.608665473195574,1,27
31.25,219.1693268171225,554.4113701206021,224.90672443833768,563.334707613641,10.608660776865202,1,27
31.5,219.3065778036172,554.6203250600179,225.03959366966978,563.5464758061657,10.608658636385986,1,27
31.75,219.44382879011184,554.8292799994337,225.16989788566224,563.7598315932453,10.608610609158431,1,28
32.0,219.5810797766065,555.0382349388494,225.30016844149648,563.9732082139951,10.608568356966975,1,28
32.25,219.71833076310116,555.2471898782651,225.4304389973307,564.1865848347451,10.60853254071894,1,28
32.5,219.8555817495958,555.4561448176809,225.56070955316494,564.3999614554949,10.60850316047919,1,28
32.75,219.9928327360905,555.6650997570966,225.6903038478137,564.61374828169,10.60846301240799,1,29
33.0,220.13008372258514,555.8740546965124,225.81934495974377,564.8278706565878,10.608417114326578,1,29
33.25,220.2673347090798,556.0830096359282,225.94838607167384,565.0419930314856,10.608380086813694,1,29
33.5,220.40458569557447,556.291964575344,226.0774271836039,565.2561154063833,10.608351929962115,1,29
33.75,220.54183668206912,556.5009195147596,226.20630122397856,565.4703377044451,10.608327917631984,1,30
34.0,220.67908766856377,556.7098744541754,226.3339023935013,565.6853212887869,10.608278628236894,1,30
34.25,220.81633865505844,556.9188293935912,226.461503563024,565.9003048731287,10.608241542671385,1,30
34.5,220.9535896415531,557.127784333007,226.5891047325467,566.1152884574703,10.608216661063397,1,30
34.75,221.09084062804777,557.3367392724227,226.7167059020694,566.3302720418121,10.608203983498965,1,30
